Date,DJIA_USD,CAC40_EUR,FTSE100_GBP,NIKKEI225_JPY,USD_per_USD,USD_per_GBP,USD_per_EUR,USD_per_JPY,MXN_per_USD,MXN_per_GBP,MXN_per_EUR,MXN_per_JPY
8/6/2007,13468.78027,5532.990234,6189.100098,16914.46094,1,2.031405448913574,1.3796910047531128,0.008416092,10.944899559020996,22.233528602007027,15.10057946950758,0.092113277
8/7/2007,13504.2998,5620.399902,6308.799805,16921.76953,1,2.0222856998443604,1.374098300933838,0.008417508,10.946800231933594,22.137557568092234,15.041979599362094,0.092144781
8/8/2007,13657.86035,5749.290039,6393.899902,17029.2793,1,2.0372822284698486,1.3803004026412964,0.008354917,10.923999786376953,22.25527062859419,15.078401303589544,0.091269108
8/9/2007,13270.67969,5624.779785,6271.200195,17170.59961,1,2.0229809284210205,1.367409110069275,0.0084538,10.998000144958496,22.248744544022657,15.038765590759454,0.092974893
8/10/2007,13239.54004,5448.629883,6038.299805,16764.08984,1,2.022081136703491,1.3689066171646118,0.008438106,10.994000434875488,22.230760896271704,15.049759944411676,0.092768545
8/13/2007,13236.53027,5569.279785,6219,16800.05078,1,2.011991500854492,1.3613035678863525,0.008459521,11.003999710083008,22.139953892092308,14.979784066356387,0.093088569
8/14/2007,13028.91992,5478.660156,6143.5,16844.60938,1,1.997004508972168,1.3534914255142212,0.008516437,11.095000267028809,22.15676556030394,15.016987727501487,0.094489869
8/15/2007,12861.46973,5442.720215,6109.299805,16475.60938,1,1.9868077039718628,1.3428045511245728,0.008596974,11.203499794006348,22.25919970217899,15.044110511914937,0.096316195
8/16/2007,12845.78027,5265.470215,5858.899902,16148.49023,1,1.9853086471557617,1.3424980640411377,0.008767316,11.171500205993652,22.17887596066157,14.99771739898165,0.097944068
8/17/2007,13079.08008,5363.629883,6064.200195,15273.67969,1,1.9820033311843872,1.349400281906128,0.008752735,11.128999710083008,22.0577145,15.017475346119227,0.097409188
8/20/2007,13121.34961,5399.379883,6078.700195,15732.48047,1,1.9885854721069336,1.347490906715393,0.008707768,11.116800308227539,22.106707589255166,14.979787327107488,0.096802514
8/21/2007,13090.86035,5418.779785,6086.100098,15901.33984,1,1.9807078838348389,1.345496654510498,0.008760403,11.137800216674805,22.060728697745162,14.98587293014225,0.097571617
8/22/2007,13236.12988,5518.169922,6196,15900.63965,1,1.9950124025344849,1.3549952507019043,0.008649022,11.037500381469727,22.019950154011212,14.955760596511936,0.095463589
8/23/2007,13235.87988,5523.330078,6196.899902,16316.32031,1,2.0032052993774414,1.3556932210922241,0.008619204,11.043999671936035,22.12339866914499,14.97227548898843,0.095190484
8/24/2007,13378.87012,5569.379883,6220.100098,16248.96973,1,2.0136120319366455,1.366698980331421,0.008592542,11.026000022888184,22.202086310221375,15.069222988415504,0.094741367
8/28/2007,13041.84961,5474.169922,6102.200195,16287.49023,1,2.0006000995635986,1.3598966598510742,0.008745846,11.149999618530273,22.306690346965752,15.16284723858007,0.09751618
8/29/2007,13289.29004,5520.02002,6132.200195,16012.83008,1,2.016779661178589,1.367409110069275,0.008632597,11.069499969482422,22.32474239786916,15.136535102181824,0.095558532
8/30/2007,13238.73047,5592.529785,6212,16153.82031,1,2.0143826007843018,1.3642005920410156,0.008625151,11.081999778747559,22.323387536204564,15.118070659165824,0.095583919
8/31/2007,13357.74023,5662.700195,6303.299805,16569.08984,1,2.017186403274536,1.3642005920410156,0.008637817,11.029000282287598,22.247549411141563,15.04576871471727,0.095266482
9/4/2007,13448.86035,5672.720215,6376.799805,16420.4707,1,2.0141799449920654,1.3620080947875977,0.008602891,11.02400016784668,22.204320051665945,15.014777465547013,0.094838269
9/5/2007,13305.46973,5551.549805,6270.700195,16158.4502,1,2.0204060077667236,1.365392804145813,0.008686588,11.075499534606934,22.3770058,15.122407366872608,0.096208298
9/6/2007,13363.34961,5576.620117,6313.299805,16257,1,2.025111436843872,1.3696004152297974,0.008666262,11.051899909973145,22.381328906540375,15.136686705777379,0.095778663
9/7/2007,13113.37988,5430.100098,6191.200195,16122.16016,1,2.0286033153533936,1.3775053024291992,0.00881912,11.121999740600586,22.56212554714193,15.320613616293485,0.098086249
9/11/2007,13308.38965,5478.939941,6280.700195,15877.66992,1,2.0331814289093018,1.384006381034851,0.008751969,11.052000045776367,22.470721245377263,15.296038586551958,0.096726762
9/12/2007,13291.65039,5508.009766,6306.200195,15797.59961,1,2.0295915603637695,1.390801191329956,0.008762706,11.07699966430664,22.481785032829066,15.405904329479199,0.097064488
9/13/2007,13424.87988,5565.970215,6363.899902,15821.19043,1,2.0175933837890625,1.3866932392120361,0.008726765,11.112000465393066,22.419498619638034,15.408935919481564,0.09697182
9/14/2007,13442.51953,5538.919922,6289.299805,16127.41992,1,2.006702423095703,1.387809396,0.008676037,11.105999946594238,22.286437003731407,15.413011075527834,0.096356062
9/18/2007,13739.38965,5549.350098,6283.299805,15801.7998,1,2.013409376144409,1.3979953527450562,0.008627383,10.980999946594238,22.109248251914096,15.351386893832455,0.094737293
9/19/2007,13815.55957,5730.819824,6460,16381.54004,1,2.0006000995635986,1.3969016075134277,0.008619946,10.988499641418457,21.983593476676333,15.349852813258167,0.094720278
